Soil_color,Nitrogen,Phosphorus,Potassium,pH,Temperature,Crop,Fertilizer
Black,75,50,100,6.5,20,Sugarcane,Urea
Black,80,50,100,6.5,20,Sugarcane,Urea
Black,85,50,100,6.5,20,Sugarcane,Urea
Black,90,50,100,6.5,20,Sugarcane,Urea
Black,95,50,100,6.5,20,Sugarcane,Urea
Black,100,50,100,6.5,20,Sugarcane,Urea
Black,75,55,105,7,25,Sugarcane,Urea
Black,80,55,105,7,25,Sugarcane,Urea
Black,85,55,105,7,25,Sugarcane,Urea
Black,90,55,105,7,25,Sugarcane,Urea
Black,95,55,105,7,25,Sugarcane,Urea
Black,100,55,105,7,25,Sugarcane,Urea
Black,75,60,110,7.5,30,Sugarcane,Urea
Black,80,60,110,7.5,30,Sugarcane,Urea
Black,85,60,110,7.5,30,Sugarcane,Urea
Black,90,60,110,7.5,30,Sugarcane,Urea
Black,95,60,110,7.5,30,Sugarcane,Urea
Black,100,60,110,7.5,30,Sugarcane,Urea
Black,75,50,115,6.5,35,Sugarcane,Urea
Black,80,50,115,6.5,35,Sugarcane,Urea
Black,85,50,115,6.5,35,Sugarcane,Urea
Black,90,50,115,6.5,35,Sugarcane,Urea
Black,95,50,115,6.5,35,Sugarcane,Urea
Black,100,50,115,6.5,35,Sugarcane,Urea
Black,75,55,100,7,20,Sugarcane,DAP
Black,80,55,100,7,20,Sugarcane,DAP
Black,85,55,100,7,20,Sugarcane,DAP
Black,90,55,100,7,20,Sugarcane,DAP
Black,95,55,100,7,20,Sugarcane,DAP
Black,100,55,100,7,20,Sugarcane,DAP
Black,75,60,105,7.5,25,Sugarcane,DAP
Black,80,60,105,7.5,25,Sugarcane,DAP
Black,85,60,105,7.5,25,Sugarcane,DAP
Black,90,60,105,7.5,25,Sugarcane,DAP
Black,95,60,105,7.5,25,Sugarcane,DAP
Black,100,60,105,7.5,25,Sugarcane,DAP
Black,75,50,110,6.5,30,Sugarcane,DAP
Black,80,50,110,6.5,30,Sugarcane,DAP
Black,85,50,110,6.5,30,Sugarcane,DAP
Black,90,50,110,6.5,30,Sugarcane,DAP
Black,95,50,110,6.5,30,Sugarcane,DAP
Black,100,50,110,6.5,30,Sugarcane,DAP
Black,75,55,115,7,35,Sugarcane,DAP
Black,80,55,115,7,35,Sugarcane,DAP
Black,85,55,115,7,35,Sugarcane,DAP
Black,90,55,115,7,35,Sugarcane,DAP
Black,95,55,115,7,35,Sugarcane,DAP
Black,100,55,115,7,35,Sugarcane,DAP
Black,75,60,100,7.5,20,Sugarcane,MOP
Black,80,60,100,7.5,20,Sugarcane,MOP
Black,85,60,100,7.5,20,Sugarcane,MOP
Black,90,60,100,7.5,20,Sugarcane,MOP
Black,95,60,100,7.5,20,Sugarcane,MOP
Black,100,60,100,7.5,20,Sugarcane,MOP
Black,75,50,105,6.5,25,Sugarcane,MOP
Black,80,50,105,6.5,25,Sugarcane,MOP
Black,85,50,105,6.5,25,Sugarcane,MOP
Black,90,50,105,6.5,25,Sugarcane,MOP
Black,95,50,105,6.5,25,Sugarcane,MOP
Black,100,50,105,6.5,25,Sugarcane,MOP
Black,75,55,110,7,30,Sugarcane,MOP
Black,80,55,110,7,30,Sugarcane,MOP
Black,85,55,110,7,30,Sugarcane,MOP
Black,90,55,110,7,30,Sugarcane,MOP
Black,95,55,110,7,30,Sugarcane,MOP
Black,100,55,110,7,30,Sugarcane,MOP
Black,75,60,115,7.5,35,Sugarcane,MOP
Black,80,60,115,7.5,35,Sugarcane,MOP
Black,85,60,115,7.5,35,Sugarcane,MOP
Black,90,60,115,7.5,35,Sugarcane,MOP
Black,95,60,115,7.5,35,Sugarcane,MOP
Black,100,60,115,7.5,35,Sugarcane,MOP
Black,20,30,25,7,25,Jowar,Urea
Black,25,30,25,7,25,Jowar,Urea
Black,30,30,25,7,25,Jowar,Urea
Black,35,30,25,7,25,Jowar,Urea
Black,40,30,25,7,25,Jowar,Urea
Black,20,35,30,7.5,30,Jowar,Urea
Black,25,35,30,7.5,30,Jowar,Urea
Black,30,35,30,7.5,30,Jowar,Urea
Black,35,35,30,7.5,30,Jowar,Urea
Black,40,35,30,7.5,30,Jowar,Urea
Black,20,25,35,6.5,25,Jowar,Urea
Black,25,25,35,6.5,25,Jowar,Urea
Black,30,25,35,6.5,25,Jowar,Urea
Black,35,25,35,6.5,25,Jowar,Urea
Black,40,25,35,6.5,25,Jowar,Urea
Black,20,30,40,7,30,Jowar,Urea
Black,25,30,40,7,30,Jowar,Urea
Black,30,30,40,7,30,Jowar,Urea
